 	11_2014-02-11.11:01:40	11_2014-02-11.11:08:23	12_2014-02-11.11:01:40	13_2014-02-11.11:01:40	14_2014-02-11.11:01:41	15_2014-02-11.11:01:41	16_2014-02-11.11:01:41	17_2014-02-11.11:01:41	18_2014-02-11.11:08:14	19_2014-02-11.11:08:14	20_2014-02-11.11:08:15	21_2014-02-11.11:32:14	22_2014-02-11.11:32:14	23_2014-02-11.11:32:14	24_2014-02-11.11:32:14	25_2014-02-11.11:32:14	26_2014-02-11.11:40:19	27_2014-02-11.11:40:19	28_2014-02-11.11:40:19	29_2014-02-11.11:40:19	30_2014-02-11.11:40:19	31_2014-02-11.11:54:19	32_2014-02-11.11:54:19	33_2014-02-11.11:54:19	34_2014-02-11.11:54:20	35_2014-02-11.11:54:20	36_2014-02-11.11:54:19	38_2014-02-11.12:04:11	39_2014-02-11.12:04:11	40_2014-02-11.12:06:55	41_2014-02-12.11:11:47	42_2014-02-12.11:11:47	43_2014-02-12.11:11:47	44_2014-02-12.11:11:47	45_2014-02-12.11:11:47	46_2014-02-12.11:11:47	47_2014-02-12.11:38:02	49_2014-02-12.11:38:02	50_2014-02-12.11:38:02	51_2014-02-12.11:38:02	52_2014-02-12.11:38:02	53_2014-02-12.11:38:02	54_2014-02-12.11:42:31	55_2014-02-12.11:42:31	56_2014-02-12.11:47:11	57_2014-02-12.11:47:11	58_2014-02-12.11:53:16	59_2014-02-12.11:53:16	60_2014-02-12.11:53:16	61_2014-02-12.11:53:16	
leftlittle	1	1	1	1	1	0.85322	0.999932	1	0.999999	1	1	1	1	0.999536	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	0.784557	1	1	1	1	1	1	1	1	1	
leftmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftring	1	1	0.999992	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftthumb	0.987885	0.987885	1	0.999319	0.999175	0.999978	0.999999	1	0.999917	0.998788	1	0.999853	0.999985	0.999996	0.999853	0.996169	0.999684	0.993187	0.998532	0.85322	0.616881	0.978456	0.998788	0.991746	0.999853	0.999785	0.999997	0.999879	0.99739	0.996838	1	0.999954	0.999995	0.999988	1	0.996838	1	0.999999	1	0.999998	1	0.999999	0.999954	0.999175	0.999917	0.999974	1	1	0.999999	1	
rightindex	1	1	1	1	1	0.999998	1	1	1	1	1	0.999993	1	1	1	0.999617	1	0.996838	0.999319	0.999962	0.999785	0.999993	1	0	1	0.999985	0.999997	1	0.999785	1	1	1	1	1	1	1	1	1	1	1	0.999978	1	1	1	1	1	1	0.99999	1	1	
rightlittle	0.999536	0.999536	1	0.999932	0.999992	0.999978	1	0.991746	0.999739	0.999999	0.996169	1	0.961688	0.999988	0.999968	0.999997	1	1	1	0.999968	0.999996	0.999617	0.999995	0.999617	1	0.993187	0.999999	0.999879	1	0.996838	0.999998	0.999992	0.999988	0.999962	0.999993	0.999853	1	0.999993	1	0.996838	1	1	1	1	1	1	1	1	1	1	
rightmiddle	1	1	1	1	0.999999	1	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightring	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightthumb	0.999617	0.999617	0.999853	0.961688	0.99	0.999175	0.999997	0.99	1	0.999536	1	0.978456	1	0.999974	0.998788	0.85322	0.998532	0.996838	0.953584	0.973898	0.998788	0.99	0.995358	0.995358	0.978456	0.985322	0.683772	0.999	0.996169	0.995358	0.997846	0.985322	0.999	0.999684	0.683772	0.973898	0.999175	0.999879	0.996838	0.996169	0.993187	0.9	0.91746	0.99	0.987885	0.953584	0.968377	0.9	0.961688	0.999617	
leftindex	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftlittle	1	1	0.999536	1	1	0.996169	1	1	0.999996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99739	1	1	1	0.999995	1	1	1	1	1	1	1	1	1	0.999998	0.999684	1	1	1	1	1	1	1	1	1	
leftmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftring	1	1	1	0.999997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftthumb	0.995358	0.995358	0.999985	1	0.999974	0.999974	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998788	1	1	1	1	1	1	0.985322	0.998532	0.999992	1	1	1	0.999962	0.999993	
rightindex	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999993	1	1	1	0.99739	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999	1	0.999617	1	1	1	
rightlittle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999997	1	0.999993	1	0.999999	1	1	1	
rightmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightring	1	1	0.999536	1	0.999	0.999536	0.999999	0.999617	0.999988	0.999999	1	1	0.999879	0.999739	0.9999	1	0.999536	0.999993	0.999962	0.999319	0.999853	0.999617	0.973898	0.996169	0.999175	0.999968	1	1	0.999997	1	0.999998	1	1	1	1	0.991746	0.999999	1	0.999978	0.999999	1	0.999999	1	1	1	1	1	1	1	1	
rightthumb	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999993	0.999997	0.999739	0.999853	0.999962	0.999993	0.999917	1	0.999988	0.999974	0.999988	0.999985	1	0.999995	0.999988	1	0.878847	1	1	1	1	1	1	1	1	0.174596	1	0.993187	0.973898	0.999739	0.978456	0.738984	0.996838	0.978456	0.961688	
leftindex	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftlittle	1	1	1	1	1	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999	1	0.999997	1	1	1	0.996169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftring	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftthumb	0.784557	0.784557	0.999932	0.85322	0.961688	0.99739	0.998532	0.683772	0.91746	0.991746	0.995358	0.985322	0.978456	0.961688	0.996169	0.99	0.784557	0.91746	0.784557	0.738984	0.683772	0.9	0.961688	0.953584	0.968377	0.738984	0.996838	0.973898	0.953584	0.9	1	0.878847	0.996169	0.978456	0.968377	0.99739	0.985322	0.999998	0.9999	0.999997	0.999993	1	0.535841	0.999962	0.999999	1	1	1	1	1	
rightindex	1	1	1	1	1	1	1	1	0.999997	1	1	1	0.999879	0.999996	1	0.999978	0.9999	0.999974	1	1	1	0.999974	0.999999	1	0.999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightlittle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightring	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999962	1	1	0.9999	
rightthumb	0.999684	0.999684	1	1	0.968377	0.9	0.999978	0.999998	1	1	1	0.995358	0.999988	1	1	0.998532	0.998532	0.985322	0.996169	0.999	0.953584	0.987885	0	0	0.999974	0.738984	0.318708	0.996838	0	0.995358	0	0.999988	0.878847	0.996838	0.931871	0.973898	0.99739	0.999999	0.999932	0.999536	0.999988	0.953584	0.535841	1	0.997846	0.999999	1	0.999999	1	1	
leftindex	1	1	1	0.999932	1	1	0.999999	1	0.999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999	1	
leftlittle	1	1	1	1	1	0.99999	1	1	0.999992	1	1	1	1	0.999879	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999932	1	1	1	1	1	1	1	1	
leftring	1	1	0.999739	0.999968	1	1	0.999997	0.999962	0.999536	1	0.999993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999853	1	0.99999	1	1	1	1	0.999992	1	1	1	1	0.999985	1	1	1	1	1	1	1	1	1	1	
leftthumb	0.91746	0.91746	0.999992	0.987885	0	0.999879	0.998532	0.995358	0	0.878847	0.999684	0.99739	0.996838	0.961688	0.999879	0.996169	0.993187	0.991746	0.99	0.978456	0.953584	0.995358	0.997846	0.995358	0	0.987885	0.999	0.99739	0.991746	0.978456	0.999999	0.997846	0.99739	0.683772	0.978456	0.999785	0.99	0.999988	0.999917	0.999962	0.999995	0.999998	0.99	0.996169	1	1	1	0.999996	0.999917	1	
rightindex	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	1	1	1	0.99999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightlittle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightring	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	0.999999	1	1	1	1	1	0.999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999992	1	0.999978	1	1	1	1	1	1	1	1	1	
rightthumb	1	1	0.999997	0.999684	0.953584	0.985322	0.999999	0.999175	1	0.999999	0.999998	0.991746	0.99999	0.9999	1	0.535841	0.996838	0.961688	0.973898	0.953584	0.991746	0.85322	0.318708	0.878847	0.683772	0.9	0	0.993187	0.9	0.968377	0.535841	0.999	0.968377	0.999739	0.968377	0.996169	0.683772	0.999995	0.978456	0.616881	0.953584	0.738984	0.174596	0.978456	0.999785	0.999853	0.9	0.999995	1	1	
leftindex	1	1	1	0.999996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftlittle	1	1	1	1	1	0.999785	1	1	1	1	1	1	1	0.999998	1	1	1	1	1	1	1	1	1	1	1	0.999932	1	1	1	0.998788	1	1	1	1	1	1	1	1	1	1	0.999684	1	1	1	1	1	1	1	1	1	
leftmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftring	1	1	0.999999	0.999917	1	1	1	1	1	1	1	1	1	1	0.999996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftthumb	0.953584	0.953584	1	0.999684	0.998788	0.999974	1	1	0.999999	0.999962	1	0.999978	1	0.999954	0.999999	0.999996	0.999	0.999999	0.999968	0.998788	0.999785	0.999617	0.999996	0.999617	1	0.999993	1	1	0.999962	0.999319	0.999997	0.999988	0.999999	1	1	0.999999	1	1	1	0.999995	1	1	0.996838	0.99739	0.999999	1	1	0.999932	0.999785	1	
rightindex	1	1	1	1	1	1	1	1	0.999999	1	1	1	0.999999	1	1	0.999997	1	0.997846	0.999999	1	1	0.999917	0.99999	0.999993	1	1	1	1	0.999974	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightlittle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightring	1	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999988	1	1	0.999917	
rightthumb	1	1	1	0.999175	0.91746	0.9999	1	0.999995	1	1	1	0.999739	1	1	1	0.318708	0.999785	0.999	0.535841	0.985322	0.999	0.99	0.999739	0.999536	0.968377	0.784557	0.978456	0.999932	0.683772	0.999739	0.998532	0.999319	0.998532	0.996169	0.99739	0.999319	0.998788	0.99739	1	0.961688	1	0.953584	0.998788	0.9	1	0.91746	0.953584	0.987885	0.999999	0.999999	
leftindex	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftlittle	1	1	0.999996	1	1	0.999684	1	1	0.999993	0.999997	1	1	1	0.931871	1	1	1	1	1	1	1	1	1	1	1	0.999932	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	0.999974	0.683772	1	1	1	1	1	1	1	1	1	
leftmiddle	1	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	0.999917	1	1	1	1	1	1	1	1	1	1	1	0.999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	1	1	1	1	
leftring	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftthumb	0.878847	0.878847	1	0.999999	1	0.999319	1	1	1	0.999999	1	0.999999	1	0.999999	1	1	0.999962	0.999993	1	0.999999	0.999917	0.999993	1	0.999996	1	1	1	1	0.999785	0.999997	1	1	1	1	1	1	1	1	1	1	1	1	0.999995	1	1	1	1	1	1	1	
rightindex	1	1	1	0.999999	1	1	1	1	0.999996	1	1	0.999853	0.999999	0.999996	1	0.999785	0.999962	0.999536	0.999985	0.999992	1	0.9999	0.999993	0.999853	0.999999	0.999999	0.99999	1	0.999617	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightlittle	1	1	1	1	1	1	1	0.999999	0.999999	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightring	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightthumb	1	1	1	1	0.999999	1	1	1	1	1	1	0.993187	1	1	1	0.999917	0.999974	0.997846	0.999997	0.999617	0.999954	0.999962	0.784557	0.999917	0.999974	0.999978	0.999684	0.999992	0.999319	0.9999	0.999974	0.999175	0.999997	0.999997	1	0.999999	0.999999	1	1	1	1	0.999992	0.999995	0.968377	1	1	0.953584	0.961688	0.961688	1	
leftindex	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftlittle	1	1	1	1	1	1	1	1	0.999962	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftring	1	1	1	1	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftthumb	0.961688	0.961688	0.999998	0.999175	0.996169	0.999993	1	0.999999	0.999996	1	1	0.999617	0.999879	0.999997	0.999853	0.99999	0.999998	0.999993	0.999996	0.999999	0.99739	0.99999	1	0.999999	0.999992	0.999992	1	0.999978	0.999175	0.999993	1	1	0.999993	0.999	1	0.997846	0.999985	1	0.999917	1	1	1	0.999617	0.999968	0.999968	1	1	1	1	1	
rightindex	1	1	1	1	1	1	1	1	1	1	1	1	0.999993	1	1	0.999954	1	0.999954	1	1	0.999998	0.999684	1	1	1	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightlittle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999995	
rightmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999	1	1	0.999996	0.999993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightring	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	
rightthumb	0.999962	0.999962	0.999999	0.999993	0.999684	0.99	0.999319	0.999993	1	1	0.999996	0.99	0.999684	0.996838	0.999954	0.996169	0.991746	0.953584	0.991746	0.998532	0.978456	0.931871	0	0.985322	0.999684	0.931871	0.85322	0.991746	0.683772	0.996838	0.931871	0.998788	0.85322	0.985322	0.991746	0.738984	0	0.999974	0.9999	0.999175	0.999175	0.931871	0.784557	0.318708	0.999	0.961688	0.738984	0.999999	1	1	
leftindex	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftlittle	1	1	1	1	1	0.999985	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.995358	1	1	1	1	1	1	1	1	1	
leftmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftring	1	1	1	0.999992	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftthumb	0.318708	0.318708	0.999997	0.998788	0.999536	0.999319	0.999997	0.999997	0.999997	0.999175	1	0.999954	1	0.999962	0.99999	0.997846	0.999	0.999917	0.999962	0.996838	0.99739	0.99739	0.999853	0.999	0.999988	0.99999	0.999999	0.99999	0.996838	0.99739	1	0.999879	0.999996	1	0.999997	0.996169	0.999999	0.999853	0.784557	0.999962	0.931871	0.973898	0.961688	0.985322	0.999999	1	0.999992	1	1	1	
rightindex	1	1	1	1	1	1	1	1	0.999995	1	1	0.999974	0.999684	0.999997	1	0.999932	0.999988	0.9999	1	1	1	0.999978	1	1	1	1	1	1	0.999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightlittle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightring	1	1	0.99999	1	0.999978	1	1	0.999853	1	1	1	1	1	1	1	1	1	1	1	0.999996	1	1	1	0.999997	0.999999	1	1	1	1	1	1	1	1	1	1	0.999995	1	1	1	0.999985	1	1	1	0.999992	1	1	0.999997	1	1	1	
rightthumb	0.999999	0.999999	1	1	0.999999	0.9999	1	1	1	1	1	0.999917	1	1	1	0.999932	0.999968	0.999	0.987885	0.987885	0.318708	0.999932	1	0.931871	0.999536	0.999785	0.999785	0.999978	0.999	0.999785	0.999985	0.997846	0.995358	1	0.99999	0.999999	1	1	1	1	0.999996	0.999974	0.999992	0.999978	1	1	0.999968	0.999995	0.999995	1	
leftindex	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftlittle	1	1	1	1	1	0.999932	1	1	0.999998	1	1	1	1	0.9999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999996	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
leftmiddle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftring	1	1	0.999536	0.999999	1	1	1	0.999996	0.968377	1	1	1	1	1	0.999684	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99739	1	1	1	1	0.999995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
leftthumb	0.683772	0.683772	0.999988	0.998532	0.968377	0.999175	0.999988	0.999617	0.999997	0.991746	0.999992	0.995358	0.999617	0.931871	0.999853	0.999954	0.997846	0.999879	0.999617	0.995358	0.998532	0.999175	0.999879	0.996838	0.999962	0.999	0.999985	0.999954	0.973898	0.535841	0.999995	0.999319	0.999985	0.999954	0.973898	0.999974	0.999	0.999992	0.999962	0.999	0.999954	0.999917	0.998788	0.996838	0.999997	0.999996	1	0.999985	0.99999	1	
rightindex	1	1	1	1	1	1	1	1	1	1	1	0.999988	0.999998	1	1	0.999985	0.99999	0.99999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightlittle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightmiddle	1	1	1	1	1	0.999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
rightring	0.999993	0.999993	0.999175	0.738984	0.999739	0.996169	0.85322	0.931871	0.738984	0.999785	1	0.999917	0.999739	0.999988	0.683772	1	0.996838	0.999974	0.985322	0.968377	0.85322	0.996838	0.993187	0.999785	0.999993	0.999684	0.999993	0.999	1	0.999968	1	1	0.999	1	1	0.998532	0.999879	1	0.998532	0.999999	0.999954	0.535841	0.999997	0.999992	1	1	0.999999	0.999999	1	1	
rightthumb	1	1	1	0.999879	0.995358	0.998788	0.999999	0.999684	1	1	1	0.993187	0.999968	0.999879	1	0.995358	0.999684	0.961688	0.174596	0.978456	0.99	0.978456	0.999739	0	0.999978	0.535841	0.993187	0.878847	0.99	0.998788	0.961688	0.996838	0.985322	0.999917	0.9	0.999536	0.991746	0.999962	0.999988	0.961688	0.987885	0.9	0.968377	0.953584	0.999999	0.999997	0.978456	0.999879	0.999785	1	
